"account_id";"district_id";"frequency";"date"
576;55;"MONTHLY FEE";930101
3818;74;"MONTHLY FEE";930101
704;55;"MONTHLY FEE";930101
2378;16;"MONTHLY FEE";930101
2632;24;"MONTHLY FEE";930102
1972;77;"MONTHLY FEE";930102
1539;1;"FEE AFTER TRANSACTION";930103
793;47;"MONTHLY FEE";930103
2484;74;"MONTHLY FEE";930103
1695;76;"MONTHLY FEE";930103
1726;48;"MONTHLY FEE";930103
2881;70;"MONTHLY FEE";930104
2357;19;"MONTHLY FEE";930104
2177;62;"MONTHLY FEE";930104
485;6;"FEE AFTER TRANSACTION";930104
652;21;"MONTHLY FEE";930105
9635;70;"MONTHLY FEE";930105
1844;44;"MONTHLY FEE";930106
1926;37;"MONTHLY FEE";930106
2393;10;"MONTHLY FEE";930107
3510;41;"MONTHLY FEE";930107
1276;36;"MONTHLY FEE";930107
1637;1;"MONTHLY FEE";930108
3871;26;"MONTHLY FEE";930108
192;55;"MONTHLY FEE";930108
764;1;"MONTHLY FEE";930108
2087;7;"WEEKLY FEE";930108
2122;68;"MONTHLY FEE";930108
3592;54;"MONTHLY FEE";930108
3487;41;"MONTHLY FEE";930108
435;38;"MONTHLY FEE";930108
1730;1;"MONTHLY FEE";930109
1493;41;"MONTHLY FEE";930109
374;38;"MONTHLY FEE";930109
2925;1;"MONTHLY FEE";930110
866;9;"MONTHLY FEE";930110
1628;60;"MONTHLY FEE";930110
2379;44;"MONTHLY FEE";930110
1979;26;"MONTHLY FEE";930111
346;37;"MONTHLY FEE";930111
1338;74;"MONTHLY FEE";930111
1909;14;"MONTHLY FEE";930112
2099;3;"WEEKLY FEE";930112
3760;44;"MONTHLY FEE";930113
5270;44;"MONTHLY FEE";930113
1699;53;"MONTHLY FEE";930114
3909;1;"MONTHLY FEE";930114
2926;50;"MONTHLY FEE";930114
1731;33;"MONTHLY FEE";930114
11265;15;"MONTHLY FEE";930114
2519;4;"MONTHLY FEE";930115
10364;55;"MONTHLY FEE";930117
1481;15;"MONTHLY FEE";930117
401;32;"MONTHLY FEE";930118
4034;1;"MONTHLY FEE";930118
2330;54;"MONTHLY FEE";930119
1806;40;"MONTHLY FEE";930119
3834;54;"MONTHLY FEE";930119
1222;66;"MONTHLY FEE";930120
212;27;"WEEKLY FEE";930120
456;49;"MONTHLY FEE";930121
459;47;"MONTHLY FEE";930121
772;45;"MONTHLY FEE";930121
1019;52;"MONTHLY FEE";930121
11295;74;"MONTHLY FEE";930121
2970;60;"MONTHLY FEE";930122
2676;73;"MONTHLY FEE";930122
1536;41;"WEEKLY FEE";930122
1179;74;"MONTHLY FEE";930123
280;25;"MONTHLY FEE";930123
2425;41;"MONTHLY FEE";930123
9307;68;"MONTHLY FEE";930124
4055;23;"MONTHLY FEE";930124
5065;66;"MONTHLY FEE";930124
3704;75;"MONTHLY FEE";930124
477;1;"MONTHLY FEE";930125
5891;54;"MONTHLY FEE";930125
1000;77;"MONTHLY FEE";930125
1750;1;"MONTHLY FEE";930126
2023;68;"MONTHLY FEE";930126
